decorated,undecorated
BaseFormatObjectAttributes,BaseFormatObjectAttributes
BaseFormatTimeOut,BaseFormatTimeOut
BaseFreeAppCompatDataForProcessWorker,BaseFreeAppCompatDataForProcessWorker
BaseGenerateAppCompatData,BaseGenerateAppCompatData
BaseGetNamedObjectDirectory,BaseGetNamedObjectDirectory
BaseInitAppcompatCacheSupport,BaseInitAppcompatCacheSupport
BaseInitAppcompatCacheSupportWorker,BaseInitAppcompatCacheSupportWorker
BaseIsAppcompatInfrastructureDisabled,BaseIsAppcompatInfrastructureDisabled
BaseIsAppcompatInfrastructureDisabledWorker,BaseIsAppcompatInfrastructureDisabledWorker
BaseIsDosApplication,BaseIsDosApplication
BaseQueryModuleData,BaseQueryModuleData
BaseReadAppCompatDataForProcessWorker,BaseReadAppCompatDataForProcessWorker
BaseSetLastNTError,BaseSetLastNTError
BaseThreadInitThunk,BaseThreadInitThunk
BaseUpdateAppcompatCache,BaseUpdateAppcompatCache
BaseUpdateAppcompatCacheWorker,BaseUpdateAppcompatCacheWorker
BaseUpdateVDMEntry,BaseUpdateVDMEntry
BaseVerifyUnicodeString,BaseVerifyUnicodeString
BaseWriteErrorElevationRequiredEvent,BaseWriteErrorElevationRequiredEvent
Basep8BitStringToDynamicUnicodeString,Basep8BitStringToDynamicUnicodeString
BasepAllocateActivationContextActivationBlock,BasepAllocateActivationContextActivationBlock
BasepAnsiStringToDynamicUnicodeString,BasepAnsiStringToDynamicUnicodeString
BasepAppContainerEnvironmentExtension,BasepAppContainerEnvironmentExtension
BasepAppXExtension,BasepAppXExtension
BasepCheckAppCompat,BasepCheckAppCompat
BasepCheckWebBladeHashes,BasepCheckWebBladeHashes
BasepCheckWinSaferRestrictions,BasepCheckWinSaferRestrictions
BasepConstructSxsCreateProcessMessage,BasepConstructSxsCreateProcessMessage
BasepCopyEncryption,BasepCopyEncryption
BasepFinishPackageActivationForSxS,BasepFinishPackageActivationForSxS
BasepFreeActivationContextActivationBlock,BasepFreeActivationContextActivationBlock
BasepFreeAppCompatData,BasepFreeAppCompatData
BasepGetAppCompatData,BasepGetAppCompatData
BasepGetComputerNameFromNtPath,BasepGetComputerNameFromNtPath
BasepGetExeArchType,BasepGetExeArchType
BasepGetPackageActivationTokenForSxS,BasepGetPackageActivationTokenForSxS
BasepInitAppCompatData,BasepInitAppCompatData
BasepIsProcessAllowed,BasepIsProcessAllowed
BasepMapModuleHandle,BasepMapModuleHandle
BasepNotifyLoadStringResource,BasepNotifyLoadStringResource
BasepPostSuccessAppXExtension,BasepPostSuccessAppXExtension
BasepProcessInvalidImage,BasepProcessInvalidImage
BasepQueryAppCompat,BasepQueryAppCompat
BasepQueryModuleChpeSettings,BasepQueryModuleChpeSettings
BasepReleaseAppXContext,BasepReleaseAppXContext
BasepReleaseSxsCreateProcessUtilityStruct,BasepReleaseSxsCreateProcessUtilityStruct
BasepReportFault,BasepReportFault
BasepSetFileEncryptionCompression,BasepSetFileEncryptionCompression
Beep,Beep
BeginUpdateResourceA,BeginUpdateResourceA
BeginUpdateResourceW,BeginUpdateResourceW
BindIoCompletionCallback,BindIoCompletionCallback
BuildCommDCBA,BuildCommDCBA
BuildCommDCBAndTimeoutsA,BuildCommDCBAndTimeoutsA
BuildCommDCBAndTimeoutsW,BuildCommDCBAndTimeoutsW
BuildCommDCBW,BuildCommDCBW
CallNamedPipeA,CallNamedPipeA
CallNamedPipeW,CallNamedPipeW
CallbackMayRunLong,CallbackMayRunLong
CancelDeviceWakeupRequest,CancelDeviceWakeupRequest
CancelIo,CancelIo
CancelIoEx,CancelIoEx
CancelSynchronousIo,CancelSynchronousIo
CancelThreadpoolIo,CancelThreadpoolIo
CancelTimerQueueTimer,CancelTimerQueueTimer
CancelWaitableTimer,CancelWaitableTimer
CeipIsOptedIn,CeipIsOptedIn
ChangeTimerQueueTimer,ChangeTimerQueueTimer
CheckAllowDecryptedRemoteDestinationPolicy,CheckAllowDecryptedRemoteDestinationPolicy
CheckElevation,CheckElevation
CheckElevationEnabled,CheckElevationEnabled
CheckForReadOnlyResource,CheckForReadOnlyResource
CheckForReadOnlyResourceFilter,CheckForReadOnlyResourceFilter
CheckIsMSIXPackage,CheckIsMSIXPackage
CheckNameLegalDOS8Dot3A,CheckNameLegalDOS8Dot3A
CheckNameLegalDOS8Dot3W,CheckNameLegalDOS8Dot3W
CheckRemoteDebuggerPresent,CheckRemoteDebuggerPresent
CheckTokenCapability,CheckTokenCapability
CheckTokenMembershipEx,CheckTokenMembershipEx
ClearCommBreak,ClearCommBreak
ClearCommError,ClearCommError
CloseConsoleHandle,CloseConsoleHandle
CloseHandle,CloseHandle
ClosePackageInfo,ClosePackageInfo
ClosePrivateNamespace,ClosePrivateNamespace
CloseProfileUserMapping,CloseProfileUserMapping
ClosePseudoConsole,ClosePseudoConsole
CloseState,CloseState
CloseThreadpool,CloseThreadpool
CloseThreadpoolCleanupGroup,CloseThreadpoolCleanupGroup
CloseThreadpoolCleanupGroupMembers,CloseThreadpoolCleanupGroupMembers
CloseThreadpoolIo,CloseThreadpoolIo
CloseThreadpoolTimer,CloseThreadpoolTimer
CloseThreadpoolWait,CloseThreadpoolWait
CloseThreadpoolWork,CloseThreadpoolWork
CmdBatNotification,CmdBatNotification
CommConfigDialogA,CommConfigDialogA
CommConfigDialogW,CommConfigDialogW
CompareCalendarDates,CompareCalendarDates
CompareFileTime,CompareFileTime
CompareStringA,CompareStringA
CompareStringEx,CompareStringEx
CompareStringOrdinal,CompareStringOrdinal
CompareStringW,CompareStringW
ConnectNamedPipe,ConnectNamedPipe
ConsoleMenuControl,ConsoleMenuControl
ContinueDebugEvent,ContinueDebugEvent
ConvertCalDateTimeToSystemTime,ConvertCalDateTimeToSystemTime
ConvertDefaultLocale,ConvertDefaultLocale
ConvertFiberToThread,ConvertFiberToThread
ConvertNLSDayOfWeekToWin32DayOfWeek,ConvertNLSDayOfWeekToWin32DayOfWeek
ConvertSystemTimeToCalDateTime,ConvertSystemTimeToCalDateTime
ConvertThreadToFiber,ConvertThreadToFiber
ConvertThreadToFiberEx,ConvertThreadToFiberEx
CopyContext,CopyContext
CopyFile2,CopyFile2
CopyFileA,CopyFileA
CopyFileExA,CopyFileExA
CopyFileExW,CopyFileExW
CopyFileTransactedA,CopyFileTransactedA
CopyFileTransactedW,CopyFileTransactedW
CopyFileW,CopyFileW
CopyLZFile,CopyLZFile
CreateActCtxA,CreateActCtxA
CreateActCtxW,CreateActCtxW
CreateActCtxWWorker,CreateActCtxWWorker
CreateBoundaryDescriptorA,CreateBoundaryDescriptorA
CreateBoundaryDescriptorW,CreateBoundaryDescriptorW
CreateConsoleScreenBuffer,CreateConsoleScreenBuffer
CreateDirectoryA,CreateDirectoryA
CreateDirectoryExA,CreateDirectoryExA
CreateDirectoryExW,CreateDirectoryExW
CreateDirectoryTransactedA,CreateDirectoryTransactedA
CreateDirectoryTransactedW,CreateDirectoryTransactedW
CreateDirectoryW,CreateDirectoryW
CreateEnclave,CreateEnclave
CreateEventA,CreateEventA
CreateEventExA,CreateEventExA
CreateEventExW,CreateEventExW
CreateEventW,CreateEventW
CreateFiber,CreateFiber
CreateFiberEx,CreateFiberEx
CreateFile2,CreateFile2
CreateFileA,CreateFileA
CreateFileMappingA,CreateFileMappingA
CreateFileMappingFromApp,CreateFileMappingFromApp
CreateFileMappingNumaA,CreateFileMappingNumaA
CreateFileMappingNumaW,CreateFileMappingNumaW
CreateFileMappingW,CreateFileMappingW
CreateFileTransactedA,CreateFileTransactedA
CreateFileTransactedW,CreateFileTransactedW
CreateFileW,CreateFileW
CreateHardLinkA,CreateHardLinkA
CreateHardLinkTransactedA,CreateHardLinkTransactedA
CreateHardLinkTransactedW,CreateHardLinkTransactedW
CreateHardLinkW,CreateHardLinkW
CreateIoCompletionPort,CreateIoCompletionPort
CreateJobObjectA,CreateJobObjectA
CreateJobObjectW,CreateJobObjectW
CreateJobSet,CreateJobSet
CreateMailslotA,CreateMailslotA
CreateMailslotW,CreateMailslotW
CreateMemoryResourceNotification,CreateMemoryResourceNotification
CreateMutexA,CreateMutexA
CreateMutexExA,CreateMutexExA
CreateMutexExW,CreateMutexExW
CreateMutexW,CreateMutexW
CreateNamedPipeA,CreateNamedPipeA
CreateNamedPipeW,CreateNamedPipeW
CreatePipe,CreatePipe
CreatePrivateNamespaceA,CreatePrivateNamespaceA
CreatePrivateNamespaceW,CreatePrivateNamespaceW
CreateProcessA,CreateProcessA
CreateProcessAsUserA,CreateProcessAsUserA
CreateProcessAsUserW,CreateProcessAsUserW
CreateProcessInternalA,CreateProcessInternalA
CreateProcessInternalW,CreateProcessInternalW
CreateProcessW,CreateProcessW
CreatePseudoConsole,CreatePseudoConsole
CreateRemoteThread,CreateRemoteThread
CreateRemoteThreadEx,CreateRemoteThreadEx
CreateSemaphoreA,CreateSemaphoreA
CreateSemaphoreExA,CreateSemaphoreExA
CreateSemaphoreExW,CreateSemaphoreExW
CreateSemaphoreW,CreateSemaphoreW
CreateSymbolicLinkA,CreateSymbolicLinkA
CreateSymbolicLinkTransactedA,CreateSymbolicLinkTransactedA
CreateSymbolicLinkTransactedW,CreateSymbolicLinkTransactedW
CreateSymbolicLinkW,CreateSymbolicLinkW
CreateTapePartition,CreateTapePartition
CreateThread,CreateThread
CreateThreadpool,CreateThreadpool
CreateThreadpoolCleanupGroup,CreateThreadpoolCleanupGroup
CreateThreadpoolIo,CreateThreadpoolIo
CreateThreadpoolTimer,CreateThreadpoolTimer
CreateThreadpoolWait,CreateThreadpoolWait
CreateThreadpoolWork,CreateThreadpoolWork
CreateTimerQueue,CreateTimerQueue
CreateTimerQueueTimer,CreateTimerQueueTimer
CreateToolhelp32Snapshot,CreateToolhelp32Snapshot
CreateUmsCompletionList,CreateUmsCompletionList
CreateUmsThreadContext,CreateUmsThreadContext
CreateWaitableTimerA,CreateWaitableTimerA
CreateWaitableTimerExA,CreateWaitableTimerExA
CreateWaitableTimerExW,CreateWaitableTimerExW
CreateWaitableTimerW,CreateWaitableTimerW
CtrlRoutine,CtrlRoutine
DeactivateActCtx,DeactivateActCtx
DeactivateActCtxWorker,DeactivateActCtxWorker
DebugActiveProcess,DebugActiveProcess
DebugActiveProcessStop,DebugActiveProcessStop
DebugBreak,DebugBreak
DebugBreakProcess,DebugBreakProcess
DebugSetProcessKillOnExit,DebugSetProcessKillOnExit
DecodePointer,DecodePointer
DecodeSystemPointer,DecodeSystemPointer
DefineDosDeviceA,DefineDosDeviceA
DefineDosDeviceW,DefineDosDeviceW
DelayLoadFailureHook,DelayLoadFailureHook
DeleteAtom,DeleteAtom
DeleteBoundaryDescriptor,DeleteBoundaryDescriptor
DeleteCriticalSection,DeleteCriticalSection
DeleteFiber,DeleteFiber
DeleteFileA,DeleteFileA
DeleteFileTransactedA,DeleteFileTransactedA
DeleteFileTransactedW,DeleteFileTransactedW
DeleteFileW,DeleteFileW
DeleteProcThreadAttributeList,DeleteProcThreadAttributeList
DeleteSynchronizationBarrier,DeleteSynchronizationBarrier
DeleteTimerQueue,DeleteTimerQueue
DeleteTimerQueueEx,DeleteTimerQueueEx
DeleteTimerQueueTimer,DeleteTimerQueueTimer
DeleteUmsCompletionList,DeleteUmsCompletionList
DeleteUmsThreadContext,DeleteUmsThreadContext
DeleteVolumeMountPointA,DeleteVolumeMountPointA
DeleteVolumeMountPointW,DeleteVolumeMountPointW
DequeueUmsCompletionListItems,DequeueUmsCompletionListItems
DeviceIoControl,DeviceIoControl
DisableThreadLibraryCalls,DisableThreadLibraryCalls
DisableThreadProfiling,DisableThreadProfiling
DisassociateCurrentThreadFromCallback,DisassociateCurrentThreadFromCallback
DiscardVirtualMemory,DiscardVirtualMemory
DisconnectNamedPipe,DisconnectNamedPipe
DnsHostnameToComputerNameA,DnsHostnameToComputerNameA
DnsHostnameToComputerNameExW,DnsHostnameToComputerNameExW
DnsHostnameToComputerNameW,DnsHostnameToComputerNameW
DosDateTimeToFileTime,DosDateTimeToFileTime
DosPathToSessionPathA,DosPathToSessionPathA
DosPathToSessionPathW,DosPathToSessionPathW
DuplicateConsoleHandle,DuplicateConsoleHandle
DuplicateEncryptionInfoFileExt,DuplicateEncryptionInfoFileExt
DuplicateHandle,DuplicateHandle
EnableThreadProfiling,EnableThreadProfiling
EncodePointer,EncodePointer
EncodeSystemPointer,EncodeSystemPointer
EndUpdateResourceA,EndUpdateResourceA
EndUpdateResourceW,EndUpdateResourceW
EnterCriticalSection,EnterCriticalSection
EnterSynchronizationBarrier,EnterSynchronizationBarrier
EnterUmsSchedulingMode,EnterUmsSchedulingMode
EnumCalendarInfoA,EnumCalendarInfoA
EnumCalendarInfoExA,EnumCalendarInfoExA
EnumCalendarInfoExEx,EnumCalendarInfoExEx
EnumCalendarInfoExW,EnumCalendarInfoExW
EnumCalendarInfoW,EnumCalendarInfoW
EnumDateFormatsA,EnumDateFormatsA
EnumDateFormatsExA,EnumDateFormatsExA
EnumDateFormatsExEx,EnumDateFormatsExEx
EnumDateFormatsExW,EnumDateFormatsExW
EnumDateFormatsW,EnumDateFormatsW
EnumLanguageGroupLocalesA,EnumLanguageGroupLocalesA
EnumLanguageGroupLocalesW,EnumLanguageGroupLocalesW
EnumResourceLanguagesA,EnumResourceLanguagesA
EnumResourceLanguagesExA,EnumResourceLanguagesExA
EnumResourceLanguagesExW,EnumResourceLanguagesExW
EnumResourceLanguagesW,EnumResourceLanguagesW
EnumResourceNamesA,EnumResourceNamesA
EnumResourceNamesExA,EnumResourceNamesExA
EnumResourceNamesExW,EnumResourceNamesExW
EnumResourceNamesW,EnumResourceNamesW
EnumResourceTypesA,EnumResourceTypesA
EnumResourceTypesExA,EnumResourceTypesExA
EnumResourceTypesExW,EnumResourceTypesExW
EnumResourceTypesW,EnumResourceTypesW
EnumSystemCodePagesA,EnumSystemCodePagesA
EnumSystemCodePagesW,EnumSystemCodePagesW
EnumSystemFirmwareTables,EnumSystemFirmwareTables
EnumSystemGeoID,EnumSystemGeoID
EnumSystemGeoNames,EnumSystemGeoNames
EnumSystemLanguageGroupsA,EnumSystemLanguageGroupsA
EnumSystemLanguageGroupsW,EnumSystemLanguageGroupsW
EnumSystemLocalesA,EnumSystemLocalesA
EnumSystemLocalesEx,EnumSystemLocalesEx
EnumSystemLocalesW,EnumSystemLocalesW
EnumTimeFormatsA,EnumTimeFormatsA
EnumTimeFormatsEx,EnumTimeFormatsEx
EnumTimeFormatsW,EnumTimeFormatsW
EnumUILanguagesA,EnumUILanguagesA
EnumUILanguagesW,EnumUILanguagesW
EnumerateLocalComputerNamesA,EnumerateLocalComputerNamesA
EnumerateLocalComputerNamesW,EnumerateLocalComputerNamesW
EraseTape,EraseTape
EscapeCommFunction,EscapeCommFunction
ExecuteUmsThread,ExecuteUmsThread
ExitProcess,ExitProcess
ExitThread,ExitThread
ExitVDM,ExitVDM
ExpandEnvironmentStringsA,ExpandEnvironmentStringsA
ExpandEnvironmentStringsW,ExpandEnvironmentStringsW
ExpungeConsoleCommandHistoryA,ExpungeConsoleCommandHistoryA
ExpungeConsoleCommandHistoryW,ExpungeConsoleCommandHistoryW
FatalAppExitA,FatalAppExitA
FatalAppExitW,FatalAppExitW
FatalExit,FatalExit
FileTimeToDosDateTime,FileTimeToDosDateTime
FileTimeToLocalFileTime,FileTimeToLocalFileTime
FileTimeToSystemTime,FileTimeToSystemTime
FillConsoleOutputAttribute,FillConsoleOutputAttribute
FillConsoleOutputCharacterA,FillConsoleOutputCharacterA
FillConsoleOutputCharacterW,FillConsoleOutputCharacterW
FindActCtxSectionGuid,FindActCtxSectionGuid
FindActCtxSectionGuidWorker,FindActCtxSectionGuidWorker
FindActCtxSectionStringA,FindActCtxSectionStringA
FindActCtxSectionStringW,FindActCtxSectionStringW
FindActCtxSectionStringWWorker,FindActCtxSectionStringWWorker
FindAtomA,FindAtomA
FindAtomW,FindAtomW
FindClose,FindClose
FindCloseChangeNotification,FindCloseChangeNotification
FindFirstChangeNotificationA,FindFirstChangeNotificationA
FindFirstChangeNotificationW,FindFirstChangeNotificationW
FindFirstFileA,FindFirstFileA
FindFirstFileExA,FindFirstFileExA
FindFirstFileExW,FindFirstFileExW
FindFirstFileNameTransactedW,FindFirstFileNameTransactedW
FindFirstFileNameW,FindFirstFileNameW
FindFirstFileTransactedA,FindFirstFileTransactedA
FindFirstFileTransactedW,FindFirstFileTransactedW
FindFirstFileW,FindFirstFileW
FindFirstStreamTransactedW,FindFirstStreamTransactedW
FindFirstStreamW,FindFirstStreamW
FindFirstVolumeA,FindFirstVolumeA
FindFirstVolumeMountPointA,FindFirstVolumeMountPointA
FindFirstVolumeMountPointW,FindFirstVolumeMountPointW
FindFirstVolumeW,FindFirstVolumeW
FindNLSString,FindNLSString
FindNLSStringEx,FindNLSStringEx
FindNextChangeNotification,FindNextChangeNotification
FindNextFileA,FindNextFileA
FindNextFileNameW,FindNextFileNameW
FindNextFileW,FindNextFileW
FindNextStreamW,FindNextStreamW
FindNextVolumeA,FindNextVolumeA
FindNextVolumeMountPointA,FindNextVolumeMountPointA
FindNextVolumeMountPointW,FindNextVolumeMountPointW
FindNextVolumeW,FindNextVolumeW
FindPackagesByPackageFamily,FindPackagesByPackageFamily
FindResourceA,FindResourceA
FindResourceExA,FindResourceExA
FindResourceExW,FindResourceExW
FindResourceW,FindResourceW
FindStringOrdinal,FindStringOrdinal
FindVolumeClose,FindVolumeClose
FindVolumeMountPointClose,FindVolumeMountPointClose
FlsAlloc,FlsAlloc
FlsFree,FlsFree
FlsGetValue,FlsGetValue
FlsSetValue,FlsSetValue
FlushConsoleInputBuffer,FlushConsoleInputBuffer
FlushFileBuffers,FlushFileBuffers
FlushInstructionCache,FlushInstructionCache
FlushProcessWriteBuffers,FlushProcessWriteBuffers
FlushViewOfFile,FlushViewOfFile
FoldStringA,FoldStringA
FoldStringW,FoldStringW
FormatApplicationUserModelId,FormatApplicationUserModelId
FormatMessageA,FormatMessageA
FormatMessageW,FormatMessageW
FreeConsole,FreeConsole
FreeEnvironmentStringsA,FreeEnvironmentStringsA
FreeEnvironmentStringsW,FreeEnvironmentStringsW
FreeLibrary,FreeLibrary
FreeLibraryAndExitThread,FreeLibraryAndExitThread
FreeLibraryWhenCallbackReturns,FreeLibraryWhenCallbackReturns
FreeMemoryJobObject,FreeMemoryJobObject
FreeResource,FreeResource
FreeUserPhysicalPages,FreeUserPhysicalPages
GenerateConsoleCtrlEvent,GenerateConsoleCtrlEvent
GetACP,GetACP
GetActiveProcessorCount,GetActiveProcessorCount
GetActiveProcessorGroupCount,GetActiveProcessorGroupCount
GetAppContainerAce,GetAppContainerAce
GetAppContainerNamedObjectPath,GetAppContainerNamedObjectPath
GetApplicationRecoveryCallback,GetApplicationRecoveryCallback
GetApplicationRecoveryCallbackWorker,GetApplicationRecoveryCallbackWorker
GetApplicationRestartSettings,GetApplicationRestartSettings
GetApplicationRestartSettingsWorker,GetApplicationRestartSettingsWorker
GetApplicationUserModelId,GetApplicationUserModelId
GetAtomNameA,GetAtomNameA
GetAtomNameW,GetAtomNameW
GetBinaryType,GetBinaryType
GetBinaryTypeA,GetBinaryTypeA
GetBinaryTypeW,GetBinaryTypeW
GetCPInfo,GetCPInfo
GetCPInfoExA,GetCPInfoExA
GetCPInfoExW,GetCPInfoExW
GetCachedSigningLevel,GetCachedSigningLevel
GetCalendarDateFormat,GetCalendarDateFormat
GetCalendarDateFormatEx,GetCalendarDateFormatEx
GetCalendarDaysInMonth,GetCalendarDaysInMonth
GetCalendarDifferenceInDays,GetCalendarDifferenceInDays
GetCalendarInfoA,GetCalendarInfoA
GetCalendarInfoEx,GetCalendarInfoEx
GetCalendarInfoW,GetCalendarInfoW
GetCalendarMonthsInYear,GetCalendarMonthsInYear
GetCalendarSupportedDateRange,GetCalendarSupportedDateRange
GetCalendarWeekNumber,GetCalendarWeekNumber
GetComPlusPackageInstallStatus,GetComPlusPackageInstallStatus
GetCommConfig,GetCommConfig
GetCommMask,GetCommMask
GetCommModemStatus,GetCommModemStatus
GetCommProperties,GetCommProperties
GetCommState,GetCommState
GetCommTimeouts,GetCommTimeouts
GetCommandLineA,GetCommandLineA
GetCommandLineW,GetCommandLineW
GetCompressedFileSizeA,GetCompressedFileSizeA
GetCompressedFileSizeTransactedA,GetCompressedFileSizeTransactedA
GetCompressedFileSizeTransactedW,GetCompressedFileSizeTransactedW
GetCompressedFileSizeW,GetCompressedFileSizeW
GetComputerNameA,GetComputerNameA
GetComputerNameExA,GetComputerNameExA
GetComputerNameExW,GetComputerNameExW
GetComputerNameW,GetComputerNameW
GetConsoleAliasA,GetConsoleAliasA
GetConsoleAliasExesA,GetConsoleAliasExesA
GetConsoleAliasExesLengthA,GetConsoleAliasExesLengthA
GetConsoleAliasExesLengthW,GetConsoleAliasExesLengthW
GetConsoleAliasExesW,GetConsoleAliasExesW
GetConsoleAliasW,GetConsoleAliasW
GetConsoleAliasesA,GetConsoleAliasesA
GetConsoleAliasesLengthA,GetConsoleAliasesLengthA
GetConsoleAliasesLengthW,GetConsoleAliasesLengthW
GetConsoleAliasesW,GetConsoleAliasesW
GetConsoleCP,GetConsoleCP
GetConsoleCharType,GetConsoleCharType
GetConsoleCommandHistoryA,GetConsoleCommandHistoryA
GetConsoleCommandHistoryLengthA,GetConsoleCommandHistoryLengthA
GetConsoleCommandHistoryLengthW,GetConsoleCommandHistoryLengthW
GetConsoleCommandHistoryW,GetConsoleCommandHistoryW
GetConsoleCursorInfo,GetConsoleCursorInfo
GetConsoleCursorMode,GetConsoleCursorMode
GetConsoleDisplayMode,GetConsoleDisplayMode
GetConsoleFontInfo,GetConsoleFontInfo
GetConsoleFontSize,GetConsoleFontSize
GetConsoleHardwareState,GetConsoleHardwareState
GetConsoleHistoryInfo,GetConsoleHistoryInfo
GetConsoleInputExeNameA,GetConsoleInputExeNameA
GetConsoleInputExeNameW,GetConsoleInputExeNameW
GetConsoleInputWaitHandle,GetConsoleInputWaitHandle
GetConsoleKeyboardLayoutNameA,GetConsoleKeyboardLayoutNameA
GetConsoleKeyboardLayoutNameW,GetConsoleKeyboardLayoutNameW
GetConsoleMode,GetConsoleMode
GetConsoleNlsMode,GetConsoleNlsMode
GetConsoleOriginalTitleA,GetConsoleOriginalTitleA
GetConsoleOriginalTitleW,GetConsoleOriginalTitleW
GetConsoleOutputCP,GetConsoleOutputCP
GetConsoleProcessList,GetConsoleProcessList
GetConsoleScreenBufferInfo,GetConsoleScreenBufferInfo
GetConsoleScreenBufferInfoEx,GetConsoleScreenBufferInfoEx
GetConsoleSelectionInfo,GetConsoleSelectionInfo
GetConsoleTitleA,GetConsoleTitleA
GetConsoleTitleW,GetConsoleTitleW
GetConsoleWindow,GetConsoleWindow
GetCurrencyFormatA,GetCurrencyFormatA
GetCurrencyFormatEx,GetCurrencyFormatEx
GetCurrencyFormatW,GetCurrencyFormatW
GetCurrentActCtx,GetCurrentActCtx
GetCurrentActCtxWorker,GetCurrentActCtxWorker
GetCurrentApplicationUserModelId,GetCurrentApplicationUserModelId
GetCurrentConsoleFont,GetCurrentConsoleFont
GetCurrentConsoleFontEx,GetCurrentConsoleFontEx
GetCurrentDirectoryA,GetCurrentDirectoryA
GetCurrentDirectoryW,GetCurrentDirectoryW
GetCurrentPackageFamilyName,GetCurrentPackageFamilyName
GetCurrentPackageFullName,GetCurrentPackageFullName
GetCurrentPackageId,GetCurrentPackageId
GetCurrentPackageInfo,GetCurrentPackageInfo
GetCurrentPackagePath,GetCurrentPackagePath
GetCurrentProcess,GetCurrentProcess
GetCurrentProcessId,GetCurrentProcessId
GetCurrentProcessorNumber,GetCurrentProcessorNumber
GetCurrentProcessorNumberEx,GetCurrentProcessorNumberEx
GetCurrentThread,GetCurrentThread
GetCurrentThreadId,GetCurrentThreadId
GetCurrentThreadStackLimits,GetCurrentThreadStackLimits
GetCurrentUmsThread,GetCurrentUmsThread
GetDateFormatA,GetDateFormatA
GetDateFormatAWorker,GetDateFormatAWorker
GetDateFormatEx,GetDateFormatEx
GetDateFormatW,GetDateFormatW
GetDateFormatWWorker,GetDateFormatWWorker
GetDefaultCommConfigA,GetDefaultCommConfigA
GetDefaultCommConfigW,GetDefaultCommConfigW
GetDevicePowerState,GetDevicePowerState
GetDiskFreeSpaceA,GetDiskFreeSpaceA
GetDiskFreeSpaceExA,GetDiskFreeSpaceExA
GetDiskFreeSpaceExW,GetDiskFreeSpaceExW
GetDiskFreeSpaceW,GetDiskFreeSpaceW
GetDiskSpaceInformationA,GetDiskSpaceInformationA
GetDiskSpaceInformationW,GetDiskSpaceInformationW
GetDllDirectoryA,GetDllDirectoryA
GetDllDirectoryW,GetDllDirectoryW
